
2024/12/16 (12:28:46) | ERROR: Exception during Config::unlock() : unordered_map::at
2024/12/16 (12:28:46) | INFO: Quitting! Runtime: 00:00:06

2024/12/16 (12:28:51) | ===> btop++ v.1.4.0
2024/12/16 (12:28:51) | INFO: Logger set to DEBUG
2024/12/16 (12:28:51) | DEBUG: Using locale en_US.UTF-8
2024/12/16 (12:28:51) | INFO: Running on /dev/pts/0
2024/12/16 (12:28:51) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/12/16 (12:28:51) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/12/16 (12:28:51) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/12/16 (12:28:51) | DEBUG: Shared::init() : Initialized.
2024/12/16 (12:28:51) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2024/12/16 (12:34:05) | DEBUG: Writing new config file
2024/12/16 (12:34:05) | INFO: Quitting! Runtime: 00:05:14
